episode_index,episode_return,terminated_reason,closure_mode,closed_loop,fitness_reward,average_gtc,std_gtc,route_node_count,route_path_node_ids
141,-21604.8125,closed_loop,forced,True,-21602.81256086102,10902.524471214758,,3,"[116, 120, 116]"
142,-99.3546371459961,closed_loop,forced,True,-98.35463967540626,89.9176182154312,,3,"[2142, 2141, 2142]"
143,-244.3042755126953,closed_loop,forced,True,-243.30428102779177,243.30428102779177,,3,"[1095, 2390, 1095]"
144,-9568.21837207121,closed_loop,forced,True,-9562.230756049748,7674.935518180284,,7,"[3202, 2264, 2261, 2264, 3201, 2264, 3202]"
145,-11552.857441039756,closed_loop,forced,True,-11551.857874804371,5885.689211500594,,3,"[2592, 2593, 2592]"
146,-10072.018562241421,closed_loop,forced,True,-10071.018613296252,5585.154383916949,,3,"[926, 927, 926]"
147,-20019.009772056135,closed_loop,forced,True,-20014.00982369828,11342.2288501863,,3,"[653, 415, 653]"
148,-191.2904815673828,closed_loop,forced,True,-190.29048595585016,190.29048595585016,,3,"[416, 418, 416]"
149,-66.72251892089844,closed_loop,forced,True,-65.72251782439227,65.72251782439227,,3,"[796, 1615, 796]"
150,-21003.128909428167,closed_loop,forced,True,-20997.12917512239,10472.691097166215,,3,"[3278, 3281, 3278]"
151,-15820.7529296875,closed_loop,forced,True,-15819.753122093854,7951.885862115202,,3,"[2, 2121, 2]"
152,-107.46991729736328,closed_loop,forced,True,-106.46991995534856,106.46991995534856,,3,"[3148, 3156, 3148]"
153,-10272.148613728437,closed_loop,forced,True,-10264.705278790247,10264.705278790247,,5,"[3380, 3378, 3379, 2985, 3380]"
154,-9205.0810546875,closed_loop,forced,True,-9204.081203784015,4369.097386604028,,3,"[1198, 1196, 1198]"
155,-13340.6220703125,closed_loop,forced,True,-13339.622497124494,13339.622497124494,,3,"[2068, 2069, 2068]"
156,-21844.82421875,closed_loop,forced,True,-21843.824526561682,10964.15715274618,,3,"[1958, 1953, 1958]"
157,-11524.836919625584,closed_loop,forced,True,-11523.836474547925,8759.696693859512,,3,"[2519, 2523, 2519]"
158,-7247.69287109375,closed_loop,forced,True,-7246.692934126258,7246.692934126258,,3,"[3236, 3237, 3236]"
159,-130.44468828264326,closed_loop,forced,True,-129.44466902568624,129.44466902568624,,3,"[656, 461, 656]"
160,-11874.735715050174,closed_loop,forced,True,-11873.23108271199,10341.302316179906,,5,"[2547, 2550, 2600, 2599, 2547]"
161,-29827.728522755613,closed_loop,forced,True,-29823.728961395995,22824.096583473714,,3,"[3244, 3242, 3244]"
162,-15059.329164080598,closed_loop,forced,True,-15055.329235322235,8533.95575195478,,3,"[2014, 2013, 2014]"
163,-172.4843294408265,closed_loop,forced,True,-170.1150434711867,136.17074367841138,,7,"[1589, 763, 730, 762, 730, 763, 1589]"
164,-7504.06640625,closed_loop,forced,True,-7503.066462382378,7503.066462382378,,3,"[201, 202, 201]"
165,-84.4888540875072,closed_loop,forced,True,-83.488812579225,79.59305880847761,,3,"[2557, 2392, 2557]"
166,-7476.271484375,closed_loop,forced,True,-7475.271440139942,3826.945085698625,,3,"[3335, 3333, 3335]"
167,-7806.3232421875,closed_loop,forced,True,-7805.32326977419,4232.858285705813,,3,"[2051, 2050, 2051]"
168,-85.31754302978516,closed_loop,forced,True,-83.3175415171375,83.3175415171375,,3,"[1878, 1876, 1878]"
169,-21178.92969386351,closed_loop,forced,True,-21177.928762133764,13846.557170508644,,3,"[2307, 2310, 2307]"
170,-7496.98291015625,closed_loop,forced,True,-7495.983085906392,7495.983085906392,,3,"[2541, 2542, 2541]"
171,-4429.67138671875,closed_loop,forced,True,-4428.671474008861,2124.8599724422843,,3,"[760, 1569, 760]"
172,-19636.043268984096,closed_loop,forced,True,-19634.04237897315,11569.378272275613,,3,"[3788, 3493, 3788]"
173,-17971.828125,closed_loop,forced,True,-17970.82802345877,10801.938872532446,,3,"[2915, 2614, 2915]"
174,-3841.083251953125,closed_loop,forced,True,-3840.083345287733,1661.994172565067,,3,"[787, 1459, 787]"
175,-15858.443359375,closed_loop,forced,True,-15856.443278290544,8029.7967438085925,,3,"[313, 312, 313]"
176,-191.36598205566406,closed_loop,forced,True,-190.36597549688906,190.36597549688906,,3,"[1683, 1798, 1683]"
177,-7706.92431640625,closed_loop,forced,True,-7705.92431854903,7705.92431854903,,3,"[274, 721, 274]"
178,-3439.24951171875,closed_loop,forced,True,-3438.249625592608,1792.8737327221215,,3,"[369, 249, 369]"
179,-15565.974609375,closed_loop,forced,True,-15564.97469378379,7837.600008672933,,3,"[2059, 3263, 2059]"
180,-10730.747101752779,closed_loop,forced,True,-10728.747331034492,6302.017998557836,,3,"[3380, 3403, 3380]"
181,-266.7745403368781,closed_loop,forced,True,-262.774543559166,262.774543559166,,3,"[1953, 1951, 1953]"
182,-13741.501953125,closed_loop,forced,True,-13740.501929343614,7855.604714642595,,3,"[2849, 1614, 2849]"
183,-9070.929423439698,closed_loop,forced,True,-9068.441319857366,9068.441319857366,,7,"[295, 280, 422, 421, 422, 280, 295]"
184,-133.18492405542202,closed_loop,forced,True,-132.18482811761106,118.02570833042488,,3,"[2073, 2998, 2073]"
185,-16514.117197738102,closed_loop,forced,True,-16510.116517914354,10441.675226992607,,3,"[725, 727, 725]"
186,-12309.4873046875,closed_loop,forced,True,-12308.487526359613,9431.331169055433,,3,"[644, 615, 644]"
