node_id,base_node_id,x,y,lon,lat
1553543928,1553543928,637031.2746388448,909333.4908050207,124.244083,8.2245347
1553543929,1553543929,637148.43154702,909401.6841121888,124.2451484,8.2251481
1553543930,1553543930,637319.2164650081,909406.0194274082,124.2466988,8.2251825
1553543931,1553543931,637242.9423181266,909419.0625670819,124.2460068,8.2253026
1553543933,1553543933,637210.1269827676,909425.3298207999,124.2457091,8.2253602
1553543934,1553543934,637258.3900628523,909485.4359779552,124.2461489,8.2259024
1553543935,1553543935,637255.017806927,909485.8346251618,124.2461183,8.2259061
1553543936,1553543936,637207.8500315966,909495.0428420552,124.2456904,8.2259907
1553543937,1553543937,637268.306101925,909555.8062053594,124.2462409,8.2265385
1553543940,1553543940,637616.9154005707,909832.4009113134,124.2494132,8.22903
1553543948,1553543948,637733.2780685264,909875.5806120741,124.2504707,8.2294172
1553543949,1553543949,637505.0076594079,909907.8537617356,124.2483995,8.2297155
1553546618,1553546618,637636.9461056811,909337.3006528112,124.249581,8.2245521
1553546619,1553546619,637740.292877601,909343.8709850904,124.2505193,8.2246086
1553546621,1553546621,637703.2098240046,909347.9461531336,124.2501828,8.2246465
1553546622,1553546622,637640.4619916143,909357.9567665566,124.2496135,8.2247388
1553546631,1553546631,637744.3444403852,909362.3061441199,124.2505566,8.2247752
1553546635,1553546635,637513.9083181493,909381.6904100351,124.2484654,8.224957
1553546640,1553546640,638665.4854738918,909414.8868932172,124.2589196,8.2252246
1553546641,1553546641,637642.4979363173,909415.1104685169,124.2496336,8.2252556
1553546650,1553546650,638508.9028403854,909455.2872049903,124.2574994,8.2255944
1553546653,1553546653,638450.0571150621,909475.0288703033,124.2569658,8.2257746
1553546656,1553546656,638671.409454765,909506.8967175403,124.258976,8.2260565
1553546657,1553546657,638513.6426646461,909500.0094134135,124.2575437,8.2259987
1553546658,1553546658,637411.8126730825,909549.9390756675,124.2475434,8.2264814
1553546660,1553546660,638377.9558280171,909558.8761945145,124.2563137,8.2265349
1553546666,1553546666,638459.8073905227,909562.5168520033,124.2570568,8.2265655
1553546668,1553546668,637414.0253224475,909575.2133075919,124.2475642,8.2267099
1553546670,1553546670,637305.1841740436,909592.7106862258,124.2465767,8.2268712
1553546674,1553546674,638513.7513315188,909623.2396386226,124.2575482,8.2271131
1553546676,1553546676,638648.1757732169,909629.5338849389,124.2587686,8.2271662
1553546677,1553546677,638190.1677655062,909658.0410512253,124.2546119,8.227437
1553546684,1553546684,638474.6829593179,909684.2121439975,124.2571953,8.2276656
1553546693,1553546693,637317.6336825723,909698.5073264063,124.2466927,8.2278276
1553546697,1553546697,638592.0232287096,909710.7550134916,124.2582612,8.2279023
1553546700,1553546700,638268.2885514302,909734.1766602017,124.2553232,8.2281233
1553546702,1553546702,638363.3385636667,909737.4383792377,124.2561861,8.2281501
1553546704,1553546704,638394.1364790363,909735.1575815091,124.2564656,8.2281286
1553546706,1553546706,638438.2683970082,909735.0528561998,124.2568662,8.2281264
1553546709,1553546709,638224.6886741786,909743.7930586335,124.2549277,8.2282115
1553546711,1553546711,638556.7101595814,909758.0937351136,124.257942,8.2283314
1553546717,1553546717,638126.6152669498,909766.7294929546,124.2540381,8.2284217
1553546718,1553546718,638668.5085102902,909770.7748577645,124.2589572,8.2284429
1553546719,1553546719,638738.2091125164,909781.2780515268,124.2595902,8.2285359
1553546725,1553546725,638645.564207099,909832.9369204345,124.2587507,8.2290057
1553546726,1553546726,638242.6440773921,909846.0800906155,124.2550936,8.229136
1553546736,1553546736,638149.8515246548,909867.7945118381,124.2542519,8.229335
1553546739,1553546739,638057.379081306,909889.3442477857,124.2534131,8.2295325
1553546753,1553546753,638162.6894657364,909922.7816804294,124.25437,8.2298319
1553546760,1553546760,638532.8871037404,910033.3178555648,124.2577336,8.230821
1553546762,1553546762,638191.825062117,910085.2258009241,124.2546391,8.2313001
1553546768,1553546768,638100.6867895133,910088.9430998542,124.2538119,8.2313363
1553546770,1553546770,638036.2333793353,910102.121290747,124.2532272,8.2314573
1553546777,1553546777,638201.9689517603,910138.5900958607,124.2547327,8.2317824
1553546779,1553546779,638112.3735097419,910159.7395143334,124.25392,8.2319762
1553546786,1553546786,638410.3303961125,910159.7122875561,124.2566247,8.2319675
1553546788,1553546788,638236.5135521053,910177.9873385994,124.2550474,8.2321377
1553546791,1553546791,638421.4788377458,910194.7899714538,124.2567269,8.2322844
1553546793,1553546793,638123.3393101271,910210.9832312407,124.254021,8.2324393
1553546795,1553546795,638064.8550311599,910235.293299131,124.2534908,8.2326608
1553546807,1553546807,638104.9702468743,910353.1640155688,124.2538583,8.2337256
1553551619,1553551619,638760.5555548634,909229.9207255912,124.2597773,8.2235492
1553551623,1553551623,638633.1597717744,909219.6786033757,124.2586206,8.2234602
1553551631,1553551631,638288.1537433831,909227.4089354436,124.2554891,8.2235399
1553551633,1553551633,638342.9533576787,909233.297713496,124.2559867,8.2235916
