idx,base_osmid,layer,lat,lon,node_type
4502,1801,0,8.2208451,124.24026379999998,intersection
4503,1801,2,8.2208451,124.24026379999998,intersection
4504,1803,0,8.221711699999997,124.24597730000002,intersection
4505,1803,2,8.221711699999997,124.24597730000002,intersection
4506,1807,0,8.214699200000002,124.24896530000001,intersection
4507,1807,2,8.214699200000002,124.24896530000001,intersection
4508,1806,0,8.221798,124.24347090000002,intersection
4509,1806,2,8.221798,124.24347090000002,intersection
4510,4174,0,8.213111,124.24811439999999,intersection
4511,4174,2,8.213111,124.24811439999999,intersection
4512,2135,0,8.215817000000001,124.2450227,intersection
4513,2135,2,8.215817000000001,124.2450227,intersection
4514,1810,0,8.219848599999999,124.23748609999998,intersection
4515,1810,2,8.219848599999999,124.23748609999998,intersection
4516,1811,0,8.219500499999999,124.2373766,intersection
4517,1811,2,8.219500499999999,124.2373766,intersection
4518,1812,0,8.219533299999998,124.23667279999998,intersection
4519,1812,2,8.219533299999998,124.23667279999998,intersection
4520,1813,0,8.219813300000002,124.2376434,intersection
4521,1813,2,8.219813300000002,124.2376434,intersection
4522,1816,0,8.219066999999999,124.2372322,intersection
4523,1816,2,8.219066999999999,124.2372322,intersection
4524,2735,0,8.219453199999997,124.2375256,intersection
4525,2735,2,8.219453199999997,124.2375256,intersection
4526,1815,0,8.219218699999999,124.2366969,intersection
4527,1815,2,8.219218699999999,124.2366969,intersection
4528,1817,0,8.219468299999999,124.23875750000002,intersection
4529,1817,2,8.219468299999999,124.23875750000002,intersection
4530,1822,0,8.219609,124.23757720000002,intersection
4531,1822,2,8.219609,124.23757720000002,intersection
4532,2734,0,8.2185588,124.23844640000002,intersection
4533,2734,2,8.2185588,124.23844640000002,intersection
4534,1818,0,8.2192551,124.2386833,intersection
4535,1818,2,8.2192551,124.2386833,intersection
4536,1819,0,8.2190894,124.2402999,intersection
4537,1819,2,8.2190894,124.2402999,intersection
4538,2733,0,8.2190999,124.2386304,intersection
4539,2733,2,8.2190999,124.2386304,intersection
4540,4453,0,8.2190159,124.24050280000002,intersection
4541,4453,2,8.2190159,124.24050280000002,intersection
4542,1826,0,8.221105700000004,124.23619299999999,intersection
4543,1826,2,8.221105700000004,124.23619299999999,intersection
